survey,citation
autnes2017,"Wagner, Markus; Aichholzer, Julian; Eberl, Jakob-Moritz; Meyer, Thomas M.; Berk, Nicolai; Büttner, Nico; Boomgaarden, Hajo; Kritzinger, Sylvia; Müller, Wolfgang C., 2018, ""AUTNES Online Panel Study 2017 (SUF edition)"", https://doi.org/10.11587/I7QIYJ, AUSSDA, V4, UNF:6:qXpb3Rjb7GgLHw7J3wNrEA== [fileUNF]"
belgiumes1999,"Prof.Dr. Marc Swyngedouw, KU Leuven, Departement Sociologie, J. Billiet, KU Leuven, ISPO, A. Frognier, U.C. Louvain, PIOP (primary investigator), 2016, ""Belgium General Election Study 1999"", https://doi.org/10.17026/dans-z4z-zagc, DANS Data Station Social Sciences and Humanities, V2"
belgiumes2003,"Swyngedouw, Prof. dr. M. (Institute of Social and Political Opinion Research ISPO - KU Leuven, 2004, ""Belgium General Election Study 2003"", https://doi.org/10.17026/dans-z2x-hfdx, DANS Data Station Social Sciences and Humanities, V1, UNF:6:6uuZYzZMgXTjZKpmolY2+A== [fileUNF]"
belgiumes2007,"M.M.H. Swyngedouw; A.P. Frognier, 2008, ""Belgium General Election Study 2007"", https://doi.org/10.17026/dans-xyh-cces, DANS Data Station Social Sciences and Humanities, V2, UNF:6:oSydQlfdsX+Y8ynzIM7bMw== [fileUNF]"
bes1997,"Heath, A. et al. , British General Election Study, 1997; Cross-Section Survey [computer file]. 2nd Edition. Colchester, Essex: UK Data Archive [distributor], May 1999."
bes2001,"Clarke, H. et al. , British General Election Study, 2001; Cross-Section Survey [computer file]. Colchester, Essex: UK Data Archive [distributor], March 2003."
bes2005_post,"Clarke, H. et al. , British Election Study, 2005: Face-to-Face Survey [computer file]. Colchester, Essex: UK Data Archive [distributor], November 2006."
bes2005_pre,"Clarke, H. et al. , British Election Study, 2005: Face-to-Face Survey [computer file]. Colchester, Essex: UK Data Archive [distributor], November 2006."
bes2010,"Whiteley, P.F. and Sanders, D., British Election Study, 2010: Face-to-Face Survey [computer file]. Colchester, Essex: UK Data Archive [distributor], August 2014."
bes2015,"Fieldhouse, E., Green, J., Evans, G., Schmitt, H., van der Eijk, C., Mellon, J., Prosser, C. (2019). British Election Study, 2015: Face-to-Face Post-Election Survey. [data collection]. UK Data Service. SN: 7972, DOI: 10.5255/UKDA-SN-7972-1"
bes2017,"Fieldhouse, E., Green, J., Evans, G., Schmitt, H., van der Eijk, C., Mellon, J., Prosser, C. (2019). British Election Study, 2017: Face-to-Face Post-Election Survey. [data collection]. UK Data Service. SN: 8418, DOI: 10.5255/UKDA-SN-8418-1"
bes2019,"Fieldhouse, E., Green, J., Evans, G., Prosser, C., de Geus, R., Bailey, J., Schmitt, H., van der Eijk, C., Mellon, J. (2022). British Election Study, 2019: Post-Election Random Probability Survey. [data collection]. UK Data Service. SN: 8875, DOI: 10.5255/UKDA-SN-8875-1"
canadianes2004,"Fournier, Patrick, Fred Cutler, Stuart Soroka and Dietlind Stolle. 2004. The 2004 Canadian Election Study. [dataset]"
canadianes2006,"Fournier, Patrick, Fred Cutler, Stuart Soroka and Dietlind Stolle. 2006. The 2006 Canadian Election Study. [dataset]"
canadianes2008,"Fournier, Patrick, Fred Cutler, Stuart Soroka and Dietlind Stolle. 2008. The 2008 Canadian Election Study. [dataset]"
canadianes2011,"Fournier, Patrick, Fred Cutler, Stuart Soroka and Dietlind Stolle. 2011. The 2011 Canadian Election Study. [dataset]"
canadianes2015,"Fournier, Patrick, Fred Cutler, Stuart Soroka and Dietlind Stolle. 2015. The 2015 Canadian Election Study. [dataset]"
canadianes2019,"Stephenson, Laura B; Harell, Allison; Rubenson, Daniel; Loewen, Peter John, 2020, ""2019 Canadian Election Study (CES) - Online Survey"", https://doi.org/10.7910/DVN/DUS88V, Harvard Dataverse, V3, UNF:6:L0A0hDxh6b2mmK2nmQDoyw== [fileUNF]"
canadianes2021,"Stephenson, Laura B; Harell, Allison; Rubenson, Daniel; Loewen, Peter John, 2022, ""2021 Canadian Election Study (CES)"", https://doi.org/10.7910/DVN/XBZHKC, Harvard Dataverse, V3, UNF:6:UImDcX6kd5FnExyB5kM18Q== [fileUNF]"
cceb20023,"European Commission (2004). Candidate Countries Eurobarometer 2003.2. GESIS Data Archive, Cologne. ZA3983 Data file Version 1.0.0, https://doi.org/10.4232/1.3983."
cceb20035,"European Commission (2016). Candidate Countries Eurobarometer 2003.5. GESIS Data Archive, Cologne. ZA4240 Data file Version 1.0.1, https://doi.org/10.4232/1.12467."
cces2009,"Ansolabehere, Stephen, 2013, ""CCES, Common Content, 2009"", https://doi.org/10.7910/DVN/KKM9UK, Harvard Dataverse, V1"
cces2012,"Ansolabehere, Stephen; Schaffner, Brian, 2013, ""CCES Common Content, 2012"", https://doi.org/10.7910/DVN/HQEVPK, Harvard Dataverse, V9, UNF:5:Eg5SQysFZaPiXc8tEbmmRA== [fileUNF]"
cces2014,"Schaffner, Brian; Ansolabehere, Stephen, 2015, ""CCES Common Content, 2014"", https://doi.org/10.7910/DVN/XFXJVY, Harvard Dataverse, V5, UNF:6:WvvlTX+E+iNraxwbaWNVdg== [fileUNF]"
cces2015,"Ansolabehere, Stephen; Schaffner, Brian, 2017, ""CCES, Common Content, 2015"", https://doi.org/10.7910/DVN/SWMWX8, Harvard Dataverse, V2, UNF:6:yUjTLAT228U6nAr8l48SdA== [fileUNF]"
cces2016,"Ansolabehere, Stephen; Schaffner, Brian F., 2017, ""CCES Common Content, 2016"", https://doi.org/10.7910/DVN/GDF6Z0, Harvard Dataverse, V4, UNF:6:WhtR8dNtMzReHC295hA4cg== [fileUNF]"
cces2017,"Schaffner, Brian; Stephen Ansolabhere, 2019, ""2017 CCES Common Content"", https://doi.org/10.7910/DVN/3STEZY, Harvard Dataverse, V2, UNF:6:cCXtPlhthT705N1/UHUQOg== [fileUNF]"
cces2018,"Brian Schaffner; Stephen Ansolabehere; Sam Luks, 2019, ""CCES Common Content, 2018"", https://doi.org/10.7910/DVN/ZSBZ7K, Harvard Dataverse, V6, UNF:6:hFVU8vQ/SLTMUXPgmUw3JQ== [fileUNF]"
cces2019,"Ansolabehere, Stephen; Schaffner, Brian; Luks, Samantha, 2020, ""CCES Common Content, 2019"", https://doi.org/10.7910/DVN/WOT7O8, Harvard Dataverse, V1, UNF:6:34vNKfe/vAMemliFcOkbvw== [fileUNF]"
cces2020,"Schaffner, Brian; Ansolabehere, Stephen; Luks, Sam, 2021, ""Cooperative Election Study Common Content, 2020"", https://doi.org/10.7910/DVN/E9N6PH, Harvard Dataverse, V4, UNF:6:zWLoanzs2F3awt+875kWBg== [fileUNF]"
cces2021,"Ansolabehere, Stephen; Schaffner, Brian, 2022, ""CES Common Content, 2021"", https://doi.org/10.7910/DVN/OPQOCU, Harvard Dataverse, V1, UNF:6:c5xSZQhUMd7E0YS31a+BzQ== [fileUNF]"
chcep199109,"Centro de Estudios Públicos (CEP). CEP Poll: National Survey of Public Opinion No.19, September-October 1991, 1991 [Dataset]. Roper #31081942, Version 2. Adimark [producer]. Cornell University, Ithaca, NY: Roper Center for Public Opinion Research [distributor]. doi:10.25940/ROPER-31081942"
cid_combo,"Andersen, Jørgen Goul, Deth, Jan W. van, Geurts, Peter, Viegas, José Manuel Leite, Badescu, Gabriel, Selle, Per, Teorell, Jan, Iglic, Hajdeja, Montero, José Ramón, Westholm, Anders, & Armingeon, Klaus (2007). Citizenship, Involvement, Democracy. GESIS Data Archive, Cologne. ZA4492 Data file Version 1.0.0, https://doi.org/10.4232/1.4492."
cispol1989,"Centro de Investigaciones Sociologicas. 1989. ""Cultura Política (II)."" Estudio 1788."
cisbar199005,"Centro de Investigaciones Sociologicas. 1990. ""Barómetro de Mayo 1990."" Estudio 1871."
cisbar201912,"Centro de Investigaciones Sociologicas. 2019. ""Barómetro de Diciembre 2019. Postelectoral Elecciones Generales 2019."" Estudio 3269."
cnep_combo,"Mershon Center for International Security Studies. 2023. ""Comparative National Elections Project, Merge 54."""
cnes1997,"Blais, Andre, Gidengil, Elisabeth, Nadeau, Richard, and Nevitte, Neil. Canadian Election Survey, 1997. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2000-05-09. https://doi.org/10.3886/ICPSR02593.v3"
dkes1984,x
dkes1987,x
dkes1990,x
dkes1994,x
dkes1998,x
dkes2001,x
dkes2005,x
dkes2007,x
dkes2011,x
eass2012,"Li, Lulu, Kim, Sang-Wook, Iwai, Noriko, and Fu, Yang-Chih. East Asian Social Survey (EASS), Cross-National Survey Data Sets: Network Social Capital in East Asia, 2012. Inter-university Consortium for Political and Social Research [distributor], 2021-10-07. https://doi.org/10.3886/ICPSR36277.v2"
eb17,"Commission of the European Communities, Brussels: Eurobarometer 17, March-May 1982. Helene Riffault, Faits et Opinions, Paris [Producer]; GESIS, Cologne [Publisher]: ZA1208, dataset version 1.0.1, doi:10.4232/1.10872. "
eb19,"Commission of the European Communities, Brussels: Eurobarometer 19, March-April 1983. Helene Riffault, Faits et Opinions, Paris [Producer];GESIS, Cologne [Publisher]: ZA1318, dataset version 1.0.1, doi:10.4232/1.10874."
eb26,"Commission of the European Communities, Brussels: Eurobarometer 26, September-November 1986. Helene Riffault, Faits et Opinions, Paris [Producer]; GESIS, Cologne [Publisher]: ZA1544, dataset version 1.0.1, doi:10.4232/1.10883."
eb28,"Commission of the European Communities, Brussels: Eurobarometer 28, October-November 1987. Helene Riffault, Faits et Opinions, Paris [Producer]; GESIS, Cologne [Publisher]: ZA1713, dataset version 1.1.0, doi:10.4232/1.10885."
eb30,"Commission of the European Communities, Brussels: Eurobarometer 30, October-November 1988. Helene Riffault, Faits et Opinions, Paris [Producer]; GESIS, Cologne [Publisher]: ZA1715, dataset version 1.0.1, doi:10.4232/1.10887."
eb31,"Commission of the European Communities, Brussels: Eurobarometer 31, March-April 1989. Helene Riffault, Faits et Opinions, Paris [Producer]; GESIS, Cologne [Publisher]: ZA1750, dataset version 1.0.1, doi:10.4232/1.10888."
eb31a,"Commission of the European Communities, Brussels: Eurobarometer 31A, June-July 1989. Helene Riffault, Faits et Opinions, Paris [Producer]; GESIS, Cologne [Publisher]: ZA1751, dataset version 1.0.1, doi:10.4232/1.10889."
eb32,"Commission of the European Communities, Brussels: Eurobarometer 32, October-November 1989. International Research Associates (INRA), Brussels [Producer]; GESIS, Cologne [Publisher]: ZA1752, dataset version 1.1.0, doi:10.4232/1.10890."
eb33,"Commission of the European Communities, Brussels: Eurobarometer 33, March-April 1990. International Research Associates (INRA), Brussels [Producer]; GESIS, Cologne [Publisher]: ZA1753, dataset version 1.1.0, doi:10.4232/1.10891."
eb34,"Commission of the European Communities, Brussels: Eurobarometer 34.0, October-November 1990. International Research Associates (INRA), Brussels [Producer]; GESIS, Cologne [Publisher]: ZA1960, dataset version 1.0.1, doi:10.4232/1.10892."
eb342,"Commission of the European Communities, Brussels: Eurobarometer 34.2, December 1990. International Research Associates (INRA), Brussels [Producer]; GESIS, Cologne [Publisher]: ZA1962, dataset version 2.0.0, doi:10.4232/1.14037."
eb372,"Commission of the European Communities, Brussels: Eurobarometer 37.2, April-May 1992. International Research Associates (INRA), Brussels [Producer]; GESIS, Cologne [Publisher]: ZA2242, dataset version 1.0.1, doi:10.4232/1.10902."
eb381,"Commission of the European Communities, Brussels: Eurobarometer 38.1, November 1992. International Research Associates (INRA), Brussels [Producer]; GESIS, Cologne [Publisher]: ZA2295, dataset version 1.0.1, doi:10.4232/1.10904."
eb411,"European Commission, Brussels: Eurobarometer 41.1, June-July 1994. International Research Associates (INRA), Brussels [Producer]; GESIS, Cologne [Publisher]: ZA2491, dataset version 1.1.0, doi:10.4232/1.10910."
eb42,"European Commission, Brussels: Eurobarometer 42, November-December 1994. International Research Associates (INRA), Brussels [Producer]; GESIS, Cologne [Publisher]: ZA2563, dataset version 1.0.1, doi:10.4232/1.10911."
eb49,"European Commission, Brussels: Eurobarometer 49, April-May 1998. International Research Associates (INRA), Brussels [Producer]; GESIS, Cologne [Publisher]: ZA3052, dataset version 1.1.0, doi:10.4232/1.10930."
eb552,"European Commission, Brussels: Eurobarometer 55.2, May-June 2001. European Opinion Research Group EEIG, Brussels [Producer]; GESIS, Cologne [Publisher]: ZA3509, dataset version 1.0.1, doi:10.4232/1.10943."
eb58,"European Commission, Brussels: Eurobarometer 58.0, September-October 2002. European Opinion Research Group EEIG, Brussels [Producer]; GESIS, Cologne [Publisher]: ZA3692, dataset version 1.0.1, doi:10.4232/1.10952."
eb601,"European Commission, Brussels: Eurobarometer 60.1, October-November 2003. European Opinion Research Group EEIG, Brussels [Producer]; GESIS, Cologne [Publisher]: ZA3938, dataset version 1.0.1, doi:10.4232/1.10958."
eb631,"European Commission, Brussels: Eurobarometer 63.1, January-February 2005. TNS OPINION & SOCIAL, Brussels [Producer]; GESIS, Cologne [Publisher]: ZA4233, dataset version 1.1.0, doi:10.4232/1.10965."
eb643,"European Commission, Brussels: Eurobarometer 64.3, November-December 2005. TNS OPINION & SOCIAL, Brussels [Producer]; GESIS, Cologne [Publisher]: ZA4415, data set version 1.0.1, doi:10.4232/1.10971."
eb651,"European Commission, Brussels: Eurobarometer 65.1, February-March 2006. TNS OPINION & SOCIAL, Brussels [Producer]; GESIS, Cologne [Publisher]: ZA4505, dataset version 1.0.1, doi:10.4232/1.10973."
eb661,"European Commission, Brussels: Eurobarometer 66.1, September-October 2006. TNS OPINION & SOCIAL, Brussels [Producer]; GESIS, Cologne [Publisher]: ZA4526, dataset version 1.0.1, doi:10.4232/1.10980."
eb672,"European Commission, Brussels: Eurobarometer 67.2, April-May 2009. TNS OPINION & SOCIAL, Brussels [Producer]; GESIS, Cologne [Publisher]: ZA4530, dataset version 2.1.0, doi:10.4232/1.10984."
eb713,"European Commission, Brussels: Eurobarometer 71.3, June-July 2009. TNS OPINION & SOCIAL, Brussels [Producer]; GESIS, Cologne [Publisher]: ZA4973, dataset version 3.0.0, doi:10.4232/1.11135."
eb731,"European Commission, Brussels: Eurobarometer 73.1, January-February 2010. TNS OPINION & SOCIAL, Brussels [Producer]; GESIS, Cologne [Publisher]: ZA5000, dataset version 4.0.0, doi: 10.4232/1.11428."
eb782,"European Commission and European Parliament, Brussels (2015). Eurobarometer 78.2 (2012). GESIS Data Archive, Cologne. ZA5686 Data file Version 3.0.0, https://doi.org/10.4232/1.12367."
eb795,"European Parliament and European Commission, Brussels: Eurobarometer 79.5, June 2013. TNS opinion, Brussels [Producer]; GESIS, Cologne [Publisher]: ZA5875, dataset version 2.1.0, DOI: 10.4232/1.12923 (2017)."
eb841,"European Commission and European Parliament, Brussels (2018). Eurobarometer 84.1 (2015). GESIS Data Archive, Cologne. ZA6596 Data file Version 3.0.0, https://doi.org/10.4232/1.13191."
eb871,"European Commission and European Parliament, Brussels (2021). Eurobarometer 87.1 (2017). GESIS Data Archive, Cologne. ZA6861 Data file Version 2.0.0, https://doi.org/10.4232/1.13738."
eb892,"European Commission and European Parliament, Brussels (2023). Eurobarometer 89.2 (2018). GESIS, Cologne. ZA7482 Data file Version 2.0.0, https://doi.org/10.4232/1.14102."
eb952,"European Commission, Brussels (2022). Eurobarometer 95.2 (2021). GESIS, Cologne. ZA7782 Data file Version 1.0.0, https://doi.org/10.4232/1.13884."
eb973,"European Commission and European Parliament, Brussels (2022). Eurobarometer 97.3 (2022). GESIS, Cologne. ZA7888 Data file Version 1.0.0, https://doi.org/10.4232/1.14055."
ees1989,"Eijk, C. van der, Oppenhuis, E., Schmitt, H. (1993). European Election Study 1989 (EES 1989). GESIS Data Archive, Cologne. ZA2320 Data file Version 1.0.0, https://doi.org/10.4232/1.2320."
ees1994,"Schmitt, H., Eijk, C. van der, Scholz, E., Klein, M. (1997). European Election Study 1994 (EES 1994). GESIS Data Archive, Cologne. ZA2865 Data file Version 1.0.0, https://doi.org/10.4232/1.2865."
ees1999,"Eijk, C. van der, Franklin, M., Schoenbach, K., Schmitt, H. , Semetko, H. , with:, Brug, W. van der , Holmberg, S. , Mannheimer, R., Marsh, M., Thomassen, J., Wessels, B., International Research Group ""European Election Studies"", IPSOS, Hamburg, Germany (primary investigator), 2009, ""European Election Study - 1999"", https://doi.org/10.17026/dans-z9j-vy6m, DANS Data Station Social Sciences and Humanities, V2, UNF:6:Z+Ab1SDCoGwrx8qL0Ns/RQ== [fileUNF]"
ees2004,"Schmitt, Hermann, Bartolini, Stefano, Brug, Wouter van der, Eijk, Cees van der, Franklin, Mark, Fuchs, Dieter, Toka, Gabor, Marsh, Michael, & Thomassen, Jacques (2009). European Election Study 2004 (2nd edition). GESIS Data Archive, Cologne. ZA4566 Data file Version 2.0.0, https://doi.org/10.4232/1.10086."
ees2009,"Egmond, Marcel van, Brug, Wouter van der, Hobolt, Sara, Franklin, Mark, & Sapir, Eliyahu V. (2017). European Parliament Election Study 2009, Voter Study. GESIS Data Archive, Cologne. ZA5055 Data file Version 1.1.1, https://doi.org/10.4232/1.12732."
ees2019,"Schmitt, Hermann, Hobolt, Sara B., Brug, Wouter van der, & Popa, Sebastian A. (2022). European Parliament Election Study 2019, Voter Study. GESIS, Cologne. ZA7581 Data file Version 2.0.1, https://doi.org/10.4232/1.13846."
ess1,"European Social Survey European Research Infrastructure (ESS ERIC). (2019). ESS1 - integrated file, edition 6.6 [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research. https://doi.org/10.21338/ess1e06_6"
ess2,"European Social Survey European Research Infrastructure (ESS ERIC). (2012). ESS2 - integrated file, edition 3.6 (Italy not included) [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research. https://doi.org/10.21338/ESS2E03_6"
ess2_it,European Social Survey European Research Infrastructure (ESS ERIC). (2012). ESS2 - Italy country file from main questionnaire [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research. https://doi.org/10.21338/ess2it
ess3,"European Social Survey European Research Infrastructure (ESS ERIC). (2018). ESS3 - integrated file, edition 3.7 (Latvia and Romania not included) [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research. https://doi.org/10.21338/ESS3E03_7"
ess3_lv,European Social Survey European Research Infrastructure (ESS ERIC). (2018). ESS3 - Latvia (no design weights) [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research. https://doi.org/10.21338/ess3lv
ess3_ro,European Social Survey European Research Infrastructure (ESS ERIC). (2018). ESS3 - Romania (no design weights) [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research. https://doi.org/10.21338/ess3ro
ess4,"European Social Survey European Research Infrastructure (ESS ERIC). (2019). ESS4 - integrated file, edition 4.5 (Austria and Lithuania not included) [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research. https://doi.org/10.21338/ess4e04_6"
ess4_at,European Social Survey European Research Infrastructure (ESS ERIC). (2022). ESS4 - Austria (Fieldwork period 01.11.10 to 28.02.11) [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research. https://doi.org/10.21338/ess4at
ess4_lt,European Social Survey European Research Infrastructure (ESS ERIC). (2022). ESS4 - Lithuania (no design weights) [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research. https://doi.org/10.21338/ess4lt
ess5,"European Social Survey European Research Infrastructure (ESS ERIC). (2019). ESS5 - integrated file, edition 3.4 (Austria not included) [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research. https://doi.org/10.21338/ess5e03_5"
ess5_at,European Social Survey European Research Infrastructure (ESS ERIC). (2022). ESS5 - Austria (fieldwork period 24.05.13 to 10.10.13) [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research. https://doi.org/10.21338/ess5ate1_1
ess6,"European Social Survey European Research Infrastructure (ESS ERIC). (2019). ESS6 - integrated file, edition 2.4 [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research. https://doi.org/10.21338/ess6e02_6"
ess7,"European Social Survey European Research Infrastructure (ESS ERIC). (2018). ESS7 - integrated file, edition 2.3 [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research. https://doi.org/10.21338/ess7e02_3"
ess8,"European Social Survey European Research Infrastructure (ESS ERIC). (2019). ESS8 - integrated file, edition 2.1 [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research. https://doi.org/10.21338/ess8e02_3"
ess9,"European Social Survey European Research Infrastructure (ESS ERIC). (2020). ESS9 - integrated file, edition 2.0 [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research. https://doi.org/10.21338/ess9e03_2"
ess9_ro,European Social Survey European Research Infrastructure (ESS ERIC). (2020). ESS9 - Romania (participating on pilot basis) [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research. https://doi.org/10.21338/ess9roe01
ess10,"European Social Survey European Research Infrastructure (ESS ERIC). (2023). ESS10 integrated file, edition 3.0 [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research. https://doi.org/10.21338/ess10e03_0"
evs_combo,"EVS (2015): European Values Study 1981-2008, Longitudinal Data File. GESIS Data Archive, Cologne, Germany, ZA4804 Data File Version 3.0.0 (2015-07-30), doi:10.4232/1.12253. "
evs1999fin,o
evs2017,o
evs2017ukr,o
feb162,o
fsdeva1996,Centre for Finnish Business and Policy Studies (EVA) & Yhdyskuntatutkimus: EVA Survey on Finnish Values and Attitudes 1996 [dataset]. Version 1 (2001-01-23). Finnish Social Science Data Archive [distributor]. http://urn.fi/urn:nbn:fi:fsd:T-FSD1085
fsdeva1998,Centre for Finnish Business and Policy Studies (EVA) & Yhdyskuntatutkimus: EVA Survey on Finnish Values and Attitudes 1998 [dataset]. Version 1.0 (2001-01-24). Finnish Social Science Data Archive [distributor]. http://urn.fi/urn:nbn:fi:fsd:T-FSD1086
fsdeva2000,Centre for Finnish Business and Policy Studies (EVA) & Yhdyskuntatutkimus: EVA Survey on Finnish Values and Attitudes 2000 [dataset]. Version 1.0 (2001-10-12). Finnish Social Science Data Archive [distributor]. http://urn.fi/urn:nbn:fi:fsd:T-FSD1087
fsdeva2002,Centre for Finnish Business and Policy Studies (EVA) & Yhdyskuntatutkimus: EVA Survey on Finnish Values and Attitudes 2002 [dataset]. Version 2.0 (2018-07-12). Finnish Social Science Data Archive [distributor]. http://urn.fi/urn:nbn:fi:fsd:T-FSD1262
